DATE,POONDI,CHOLA VARAM,RED HILLS,TAMARAI PAKKAM,CHEMBARAM BAKKAM,KORATTUR ANICUT,VEERANAM,NUNGAM BAKKAM,MEENAM BAKKAM
20.09.14,0,0,0,0,0,0,0,0.2,0
22.09.14,35,3,6.2,14.8,65,14,0,13.3,31.4
23.09.14,11.6,0,0,0,7,18,0,0,0
24.09.14,27.2,0,0,0,0,0,0,0,0
25.09.14,0,0,0,0,0,0,0,0,1.1
26.09.14,1.2,0,0,0,0,0,0,0,0
27.09.14,25.2,0,0,0,0,0,11,0,0
28.09.14,1,0,0,5.4,6,26,0,3.5,4.4
29.09.14,1,0,0,0,5,0,0,0.5,0.5
08.10.14,15.4,0,0,14.2,20,15,0,4.8,14.8
09.10.14,1.6,0,0,0,0,0,0,0,0
10.10.14,7.8,0,0,0,0,7,0,18.6,4.4
16.10.14,11.8,10,1,19.2,0,13,33,0.5,1.7
17.10.14,0,2,3.2,4.8,0,0,3,0.2,3.4
18.10.14,56,30,54,21,95,36,87,161.9,115.3
19.10.14,36.6,49,48,35,64,66,40,52,74.8
20.10.14,27.4,54,91,47,27,55,89.5,42.1,33.2
21.10.14,13,8,9,16.5,20,24,58,32.9,24
22.10.14,0,0,1.4,0,5,10,18,0.1,0
23.10.14,3.2,5.0,11.8,6,5,0,10,5.4,3.8
24.10.14,27,67,56.4,55,52,63,17.4,78.1,85.8
25.10.14,2,4,11.2,8,15,0,0,0.8,0.3
26.10.14,9.2,0,0,1.6,10,0,77,6.8,0.8
27.10.14,0,0,0,2,2,0,7,0,5.3
28.10.14,0,3,5,0,0,0,0,1.3,0
01.11.14,17,18,31,29,5,7,0,32.8,26.6
02.11.14,3,36,25,9,5,9,11.5,19.1,9.8
03.11.14,0,15,13,4,10,6,25,24.6,9.1
04.11.14,0,0,0,0,0,0,2,0.1,0
09.11.14,0,0,0,1.8,0,0,0,2.2,0.5
12.11.14,1,4,6.4,0,15,5,0,13,25.9
13.11.14,96,113,90,100.4,82,92,33,80.2,77.1
14.11.14,23,40,40.2,38,27,45,121,16,20.4
15.11.14,3,0,0,0,10,0,24,8.9,5.6
19.11.14,0,0,0,0,0,0,24,0,0
23.11.14,0,0,0,0,0,0,3,0,0
29.11.14,0,0,0,0,0,0,30,0,0
30.11.14,0,0,0,0,0,0,15,0,0
01.12.14,0,0,0,0,3,0,6,1.6,2.6
10.12.14,0,9,11.4,0,0,0,0,11.1,4.1
11.12.14,10,30,37,31,10,8,0,14.4,35.4
12.12.14,0,6,5,9.2,12,0,0,11.8,21.7
13.12.14,3.4,4,10,0,0,0,32,1.9,9.8
14.12.14,67,7,3.2,14.8,15,28,11.3,5.2,5.4
15.12.14,0,0,0,0,0,0,0,0,0
16.12.14,0,0,4.8,0,0,0,0,tr,0.5
17.12.14,0,0,0,0,0,0,20,0,0
18.12.14,0,4,3,0,0,0,62,0,0
19.12.14,0,1,0,0,0,0,60.4,0,tr
22.12.14,0,4,2,0,0,0,0,0.5,0.7
24.12.14,0,0,0,0,0,0,1,0,0
29.12.14,5,8,6,5,10,0,24,16.5,14.3
30.12.14,14,41,81,22,45,24,9.3,85,70
31.12.14,0,3,2,0,0,0,0,0.3,tr
