DATE,POONDI,CHOLA VARAM,RED HILLS,TAMARAI PAKKAM,CHEMBARAM BAKKAM,KORATTUR ANICUT,VEERANAM,NUNGAM BAKKAM,MEENAM BAKKAM
02.01.14,0,0,0,0,0,0,0,0,0.5
03.01.14,0,0,0,0,0,0,0,0.1,0
20.01.14,0,0,0,0,0,0,0,0,0.5
21.01.14,0,0,0,0,0,0,0,0,0.4
17.02.14,0,0,0,0,0,0,0,9.2,4.6
18.02.14,4.0,0,3.6,0,0,0,0,0.4,4.6
19.02.14,0,0,0,0.4,0,0,0,0.1,0.3
20.02.14,0,0,0.4,0,0,0,0,0,0
24.02.14,0,0,0,0,0,0,5,0,0.6
25.02.14,0,0,0,0,0,0,14,0.2,0.7
05.05.14,15.6,1,1,4,4,0,36,9.1,13.9
06.05.14,0,0,10,0,0,0,60,3.2,2.9
07.05.14,0,0,0,3,0,0,77,0,1.6
08.05.14,12,5,4.6,7,6,14,54,1.2,2.4
09.05.14,0,0,0,0,0,0,5,0,0.3
23.05.14,0,0,0,0,0,3,0,0,0
24.05.14,3.2,0,0,0,6,0,0,0,0
27.05.14,0,0,0,0,0,0,37,0,0
03.06.14,21.2,0,0,0,17,0,33,0.5,21.8
04.06.14,2.6,0,0,0,0,0,0,0,0
05.06.14,44.6,0,0,0,0,0,0,0,0
06.06.14,0,0,0,56,4,16,0,0,0
07.06.14,0,0,0,2,0,0,0,0,0
09.06.14,12,32,39,17,60,33,0,36.7,51.8
10.06.14,11.6,11,7,26,2,5,0,8.3,2.5
13.06.14,0,0,0,0,0,0,0,0,3.6
15.06.14,0,0,0,0,0,0,6,0,0
18.06.14,0,0,0,0,0,0,0,0,0.5
21.06.14,2.4,0,0.6,0,0,0,0,1.7,0
22.06.14,3.6,0,0,4,10,3,0,2.8,10.4
23.06.14,0,0,0,2,0,0,0,0.9,1.2
29.06.14,0,12,15,13,32,5,0,25.5,62.6
30.06.14,16,13,12,17,43,33,13,20.3,34.2
01.07.14,0,15,21,9,0,12,0,7,0
02.07.14,0,0,0,0,0,0,4.5,0,0
06.07.14,67,62,26,38,25,32,0,1.5,3.4
07.07.14,4.4,0,0,4,0,0,42,0.6,0.8
08.07.14,1.2,0,2,0,0,0,8,5.1,3.5
11.07.14,18,2,2.6,7,12,22,0,8.9,8.8
12.07.14,0,0,1,0,0,14,0,1.4,4.3
15.07.14,0,0,0,0,0,0,0,1.4,1.1
21.07.14,4,0,0,0,0,0,0,2.7,0.5
22.07.14,0,0,0.2,0,2,6,0,8.2,0.2
23.07.14,3.6,0,1.8,0,0,0,0,2.8,3.1
25.07.14,1.6,5,5.8,8,0,0,0,7,0.4
26.07.14,0,0,0,0,0,0,0,2.7,6.3
27.07.14,0,0,0,0,0,0,29,1.3,2.9
28.07.14,0,0,0,0,0,0,20,0,0
30.07.14,1.6,10,5,4,3,3,0,8.3,1.1
31.07.14,0,0,0,0,2,0,0,0,0.4
02.08.14,26.8,7,16,35,0,5,0,37.1,0.2
03.08.14,0,0,0,0,0,0,0,0.2,0
04.08.14,8.2,0,0,4,12,6,0,12.2,14.7
06.08.14,10.8,8,7.2,16,7,0,0,10,2.2
07.08.14,10.4,22,13,10,5,10,0,8.6,6.3
09.08.14,7,15,25,14,65,26,0,25.5,33.9
10.08.14,0,0,0,3,10,14,6,3,4.4
11.08.14,1.4,0,0,0,2,0,0,2.6,8.4
12.08.14,34.4,6,25,24,10,30,5,19.8,22.2
13.08.14,12.2,0,1,4,6,25,1,5.9,5.6
15.08.14,0,0,0,3,1,0,0,2.6,0.1
16.08.14,18,4,1.2,8.6,0,21,10,0,0
17.08.14,0,0,0,0,0,0,74,0,0
19.08.14,0,0,0,0,0,0,0,0,0.2
21.08.14,0,0,0,0,0,0,24,0,0
24.08.14,0,0,0,0,0,0,11,0,0
25.08.14,35,10,20,54,25,54,0,89.3,85.2
26.08.14,16,0,0,3,0,0,0,0,0
27.08.14,0,2,3,3,0,7,0,5.4,0.2
30.08.14,0,0,0,0,0,0,0,0.4,0
02.09.14,8,0,0,2,0,0,0,0,0
03.09.14,0,0,0,0,0,0,3.2,0,0
04.09.14,4,33,19,66,69,45,0,26.9,59.2
05.09.14,1.2,0,0,0,0,0,0,0.1,0
06.09.14,15.6,26,20,8,12,6,7,33,15.8
07.09.14,5.6,4,1.4,1,0,0,0,2.8,0.1
08.09.14,4,2,4,17,0,0,0,8.1,3.7
09.09.14,0,0,0,0,0,0,0,0,0.1
12.09.14,0,0,0,0,0,0,0,1.2,0
13.09.14,16,19,5,14,5,23,0,2.2,0.6
14.09.14,0,0,0,0,0,0,0,0.3,0.2
15.09.14,9.8,6,5.4,24,2,4,0,14.1,3
16.09.14,37,14,13.6,18.4,51,15,5,21.4,24.8
17.09.14,7,0,1.6,0,5,4,0,0.7,1.3
18.09.14,0,7,5.2,1.6,4,0,16,2.5,4.5
19.09.14,2.4,0,0,0,2,2,0,tr,0.8
