DATE,POONDI,CHOLA VARAM,RED HILLS,TAMARAI PAKKAM,CHEMBARAM BAKKAM,KORATTUR ANICUT,VEERANAM,NUNGAM BAKKAM,MEENAM BAKKAM
27.01.2017,2,3,4.4,1,2,0,26,4.6,4.4
28.01.2017,2.4,,,,,,35,0.1,4.2
30.01.2017,,,,,,,2,,
05.03.2017,0,0,0,0,0,0,14,0,0
13.03.2017,0,0,0,0,0,0,44,0,0
10.05.2017,63,0,0,4,0,0,0,0,0
12.05.2017,0,0,6,0,0,0,0,0,0
30.05.2017,0,12,15,0,0,0,0,2.9,0
04.06.2017,17,0,0,0,0,0,0,0,0
07.06.2017,7,22,30,0,13,6,0,11.6,12.4
12.06.2017,0,0,0,5,0,0,0,0,0
15.06.2017,0,1,1,4,2,0,0,0,0
17.06.2017,3,1,5,0,2,0,0,0,0
19.06.2017,0,15,19,0,0,0,0,0,0
20.06.2017,23,17,25,14,36,13,33,6.6,39
21.06.2017,0,0,0,2,0,0,0,0,0
23.06.2017,0,0,0,2,0,0,0,0,0
24.06.2017,12,8,9,11,35,7,0,14.6,25.6
25.06.2017,,,,,5,,,,
26.06.2017,0,7,5,6,0,0,0,0.4,0
28.06.2017,2,4,11,12,0,0,0,0,0
04.07.2017,4,6,,,12,,,2.9,1.7
07.07.2017,3,5,7,4,31,9,0,2.6,47.3
08.07.2017,1.4,6,7,0,0,0,0,7,0
10.07.2017,30,18,19,16,62,18,0,84,46.2
12.07.2017,44,47,32,47,90,73,0,17.5,54.4
13.07.2017,2,0,0,0,0,0,0,0,0
14.07.2017,,,,,,,,1.0,0.2
16.07.2017,,,3,,,,,0.2,0.3
24.07.2017,0,0,0,0,0,0,0,0,0
27.07.2017,1,0,0,0,31,28,0,3.3,36
29.07.2017,5,0,0,0,11,8,0,0.3,1.8
30.07.2017,0,6,6,0,5,18,0,0,0.5
02.08.2017,0,0,0,10,12,0,0,9.2,10.1
03.08.2017,0,8,9,8,2,,,14.8,8.2
05.08.2017,,2,1,,,,,1.9,0.7
06.08.2017,,4,4,,,,,34.4,4.4
07.08.2017,,4,10,4,,,,15.3,
12.08.2017,1.0,45,38,38,19,12,,,
13.08.2017,1.0,,5,,13,,,,
14.08.2017,,,,,18,7,,,
15.08.2017,49.0,26,61,39,,1,,,
17.08.2017,,,,34,5,,,26.8,18.9
18.08.2017,11.0,45,50,8,50,54,,61.1,60.9
19.08.2017,18,76,135,51,19,34,,17.2,4.0
20.08.2017,13.0,10,18,13,4,,,2.1,0.6
21.08.2017,3,13,25,17,,,,5.2,
22.08.2017,,2,1,,11,,,0.2,15.0
24.08.2017,2,1,,,10,7,,,6.2
25.08.2017,5,7,4,7,13,32,,4.4,4.1
26.08.2017,1,,,,,,,0.1,0.2
27.08.2017,5.0,11,6,13,6,28,,18.9,12.4
28.08.2017,1.0,,,,9,,,0.5,4.9
