DATE,POONDI,CHOLA VARAM,RED HILLS,TAMARAI PAKKAM,CHEMBARAM BAKKAM,KORATTUR ANICUT,VEERANAM,NUNGAM BAKKAM,MEENAM BAKKAM
31.08.2017,41,15,13,26,29,38,,14.1,11.4
01-09-2017,,,,,,,,1.1,0.3
02-09-2017,,44,51,8,35,,,3.8,12.2
03-09-2017,,4,,6,19,18,,,0.5
04-09-2017,6.0,,,,,,,,
05-09-2017,13.0,,,,,,,,
06-09-2017,,,,2,50,12,,,
07-09-2017,18.0,,,,12,,,2.8,46.8
08-09-2017,,,,,,,,,
09-09-2017,1.0,10,5,14,,6,,,
10-09-2017,,5,10,,,,,,
11-09-2017,7.0,,4,,,,,,
12-09-2017,,5,11,,,,,0.5,
13-09-2017,,,,,,,,,
14-09-2017,,,,,,,,,
15-09-2017,,,,,,,,,0.5
16-09-2017,,,,,,,,,
17-09-2017,26.0,5,4,11,,,,9.6,14.8
18-09-2017,4.0,2,,3,,,,0.2,0.8
19-09-2017,6.0,8,7,8,12,33,,25.8,11.0
20-09-2017,,,,,,,,,
21-09-2017,,,,,,,,,
22-09-2017,2.0,5,2,,,,,0.3,
23-09-2017,,,,,,,,,
24-09-2017,,,,,,,,,1.4
25-09-2017,,,,,21,,,10.0,20.0
26-09-2017,,,,,6,,12,2.9,
27-09-2017,,,,,,,,0.1,0.1
28-09-2017,,,,,,,,,0.2
29-09-2017,1.0,1,1,12,,,,16.3,0.7
30-09-2017,3.0,10,47,15,,,,1.6,
01-10-2017,135.0,117,127,109,47,53,,47.8,24.6
02-10-2017,4.0,,3,3,15,,,3.4,7.8
03-10-2017,,,,,,,,,
04-10-2017,8.0,25,21,38,33,27,,43.2,40.6
05-10-2017,13.0,8,5,38,2,12,,,4.3
06-10-2017,13.0,,,6,6,47,,0.2,23.2
07-10-2017,,26,28,48,,,,,4.8
08-10-2017,2.0,,,,,,,,
09-10-2017,,,,,,,,0.1,
10-10-2017,12.0,,,,,,,7.1,
11-10-2017,,,,,,,,2.7,1.8
12-10-2017,3.0,15,4,54,8,,,2.2,0.9
13-10-2017,,,,,,,,,
14-10-2017,,,,,3,,,0.7,1.0
15-10-2017,,,,,,,,,
16-10-2017,4.0,6,1,28,,,,0.1,0.3
17-10-2017,46.0,18,17,25,13,26,,24.1,7.7
18-10-2017,,2,,,,,,0.2,0.1
19-10-2017,,,,,,,,,
20-10-2017,,,,,,,,,
21-10-2017,,,,,,,,,
22-10-2017,,,,,,,,,
23-10-2017,2.0,,,38,,,,21.2,
24-10-2017,,,,,,,,,
25-10-2017,,,,,1,,23,,
26-10-2017,,,,,15,,24,,8.5
27-10-2017,,3,10,,3,,,,
28-10-2017,12.0,,2,8,16,,,1.0,1.1
29-10-2017,,,,,11,,1,0.1,2.6
30-10-2017,13.0,12,35,14,6,6,5,9.4,15.3
31-10-2017,41.0,95,103,82,176,70,136,115.8,168.5
01-11-2017,30.0,55,37,63,34,17,36,41.3,28.8
02-11-2017,6.0,25,15,19,16,42,,40.8,24.1
03-11-2017,30.0,86,81,71,69,36,46,178.7,138.8
04-11-2017,8.0,42,34,59,49,32,65,60.0,60.0
05-11-2017,53.0,30,34,43,15,39,38,8.6,20.1
06-11-2017,41.0,41,84,79,21,30,58,4.4,13.6
07-11-2017,8.0,5,5,3,22,23,8,5.5,8.4
08-11-2017,40.0,45,58,25,16,9,2,20.2,21.3
09-11-2017,,,,,,,,,
10-11-2017,,,,,,,,0.2,
11-11-2017,,4,4,1,3,,23,1.8,5.3
12-11-2017,,,,,,,,1.4,0.4
13-11-2017,13.0,33,29,36,15,9,,65.2,24.6
14-11-2017,18,40,46,30,10,28,0,25.7,13.9
15-11-2017,0,18,20,11,3,0,10,6.3,2.3
16-11-2017,33,,,,,9,,,
20-11-2017,,,,,,,,0.2,2.0
21-11-2017,,,1.0,,6,,,1.2,
22-11-2017,5,2,6,16,,,,0.1,1.5
26-11-2017,,,1.0,,,,3.0,1.1,1.0
27-11-2017,2,3,4,3,116,8,42,64.0,101.3
28-11-2017,,,,,,,37,1.3,2.8
29-11-2017,,,,,,3,2,,
30-11-2017,15,31,32,33,16,7,21,30,16
01-12-2017,61,67,51,68,76,67,9,52.5,52.6
02-12-2017,2,,,,10,,153,,0.4
03-12-2017,,,,,,,24,,
04-12-2017,,,,,,,1,,
05-12-2017,,,,,,,1,,
16-12-2017,,,,,,,1,,
18-12-2017,,,,,,,1,,
22-12-2017,,,,,1,,7,,
23-12-2017,,1,4,,2,3,9,1.3,0.5
31-12-2017,0,0,0,0,0,0,0,0,0
