DATE,POONDI,CHOLA VARAM,RED HILLS,TAMARAI PAKKAM,CHEMBARAM BAKKAM,KORATTUR ANICUT,VEERANAM,NUNGAM BAKKAM,MEENAM BAKKAM
23.01.15,0,0,0,0,3,0,0,1.2,1.2
24.01.15,1,0,0,0,2,0,0,0,0
12.05.16,0,0,0,0,0,0,0,0,0
17.05.16,14,37,30,37,120,32,80,67,0.7
18.05.16,82.7,114,88,86,122,80,5,93,116.7
19.05.16,46.8,76,72,88,39,24,7,46.8,55.5
20.05.16,0,0,0,0,0,0,22,0,0
02.06.16,12.2,0,0,0,0,0,0,0,0
06.06.16,2.4,0,0,0,0,0,0,0,0
07.06.16,4.2,3,10,0,45,7,0,36.4,29.8
08.06.16,6,36,21.6,29,12,59,0,53.2,4.4
09.06.16,40.4,0,0,15,19,6,0,6.9,6.8
20.06.16,66.4,20,7.4,14,10,42,0,9,10.6
21.06.16,2.8,0,0,0,0,0,0,0,0
22.06.16,6.4,2,6,5,5,17,2,3.1,2.1
22.06.16,1.6,4,25,0,0,0,9,0,0
24.06.16,0,0,0,0,0,0,1,0,tr
25.06.16,0,1,0,0,0,0,0,1.6,1.7
26.06.16,2.8,0,0,0,10,6,0,2.1,6.2
27.06.16,9.2,14,20,11,10,23,0,10.8,17.3
29.06.16,25.2,22,23,34,25,18,0,13.7,28.8
30.06.16,2.6,3,1.6,3,5,0,0,2.3,2.7
03.07.16,4.6,9,5.2,19,0,0,0,2.9,0.4
05.07.16,19.4,0,0,6,0,0,0,0,0
07.07.16,1.4,4,4,5,15,0,0,21.9,17.8
08.07.16,0,0,0,0,5,0,0,6.4,5.1
09.07.16,0,0,0,0,0,0,27,0,0
15.07.16,19.4,0,0,4,0,0,0,0,0
17.07.16,2.6,0,0,7,0,0,0,0,0
18.07.16,3.4,1,0,0,0,0,0,0,0
19.07.16,2,2,1,0,10,0,0,0.7,7.6
20.07.16,0,3,0,0,3,12,0,3.7,7
21.07.16,0,0,0,0,0,0,4,0.8,0
23.07.16,0,1,0,0,0,0,0,0.2,0
25.07.16,0,1,0,0,0,0,0,0,0
28.07.16,0,0,0,0,0,0,0,0,0
29.07.16,5,4,15,7,2,11,88,0,1.6
31.07.16,0,0,0,0,2,0,0,1.7,4
02.08.16,2.2,1,0,0,0,5,0,5.4,0.1
08.08.16,0,1,4,0,0,0,0,1.2,0.2
09.08.16,0,0,1,0,0,0,0,0,1.2
10.08.16,4,1,3.8,0,0,10,0,9.8,5.2
11.08.16,1.6,2,3.2,0,6,11,0,3.2,0.5
14.08.16,0,1,0,0,4,0,0,0,0
20.08.16,0,0,0,0,0,0,4,0,0
24.08.16,0,1,1.6,0,0,0,0,1.6,2
27.08.16,5.4,0,0,0,1,0,0,6.4,13.6
28.08.16,0,0,0,0,0,0,0,0.3,14.1
29.08.16,0,0,0,0,0,0,10,0.5,0.6
30.08.16,0,3,0,0,10,0,80,2.7,tr
31.08.16,2,2,2.4,2,31,0,0,10.2,26.7
01.09.16,0,0,0,0,0,0,54,0,0
02.09.16,45.6,83,75,73,40,33,0,72.6,25.8
03.09.16,3,0,0,0,0,13,0,0,0
04.09.16,0,38,6,11,34,25,0,0,0
05.09.16,1,0,0,0,0,0,0,0,0
09.09.16,0,0,0,0,0,0,0,0.4,0.3
10.09.16,0,13,7,0,6,0,0,43.3,4.5
11.09.16,44.6,0,4.4,9,53,0,0,0,52.5
15.09.16,0,0,0,0,0,0,0,0,1.2
16.09.16,63.4,78,107,86,33,19,2,32,27.8
17.09.16,25,20,26.4,18,57,23,6,56.4,26.5
19.09.16,1,0,0,0,0,0,0,0.2,0
20.09.16,0,0,0,0,0,0,0,0,0.1
21.09.16,2,3,4,1,6,8,0,1.7,5.8
22.09.16,0,0,0,0,1,0,0,0,1.0
29.09.16,44.6,14,25,28,77,36,0,82.1,77
30.09.16,12.2,2,1,13,0,0,0,tr,0.6
01.10.16,0,3,3,0,0,0,0,10.2,0
09.10.16,0,3,4,0,0,0,0,0,0
10.10.16,0,0,0,2,0,0,0,6.2,1.8
11.10.16,0,0,0,1,0,0,0,0,0
12.10.16,0,0,0,0,0,0,15,0,0
30.10.16,0,1,2,0,0,0,22,3.2,0.2
31.10.16,0,2,3,11,0,9,13,tr,3.5
01.11.16,6,15,3,1,0,5,0,7,0.3
02.11.16,4.2,4.0,8.0,27,0,0,0,2.0,4.4
03.11.16,10,20,27.4,33,14,7,0,14,15.7
04.11.16,0,6,1,0,2,6,0,2.4,2.4
07.11.16,0,0,0,0,0,0,0,0,0
08.11.16,0,0,0,0,0,0,21.0,3.2,0
12.11.16,0,0,0,0,0,0,0,0,0
13.11.16,0,0,0,0,0,0,17,0.8,0.8
14.11.16,0,0,0,0,7,0,2,0,0
15.11.16,0,0,0,0,0,0,13,0,0
16.11.16,0,0,0,0,3,0,0,17.9,0.6
17.11.16,0,0,0,0,0,5,0,0,0
18.11.16,0,0,0,0,0,0,14,0,0
30.11.16,0,0,0,0,0,0,0,0,0
01.12.16,0,0,0,0,0,0,0,0.8,1
02.12.16,26,57,57,33,27,33,19.2,39.5,35.1
03.12.16,34.2,7,8,39,59,52,0,27.6,61.7
04.12.16,22.2,20,14.2,29,10,8,0,5.1,30.3
05.12.16,4.6,0,0,0,8,19,1,2.6,0.5
08.12.16,0,0,0,0,0,0,0,0,0.3
12.12.16,7.4,37,34,27,26,14,0,32.6,32.4
13.12.16,86.5,110,106,92.1,214,152,6,119.1,202.4
14.12.16,0.6,0,1.0,0,0,0,0,0,0
16.12.16,0,0,0,0,4.0,0,0,0,0
31.12.16,0,0,0,0,0,0,0,0,0
