DATE,POONDI,CHOLA VARAM,REDHILLS,TAMARAI PAKKAM,CHEMBARAM BAKKAM,KORATTUR ANICUT
04.01.08,3,52,43,26,15,12
05.01.08,47,79,32,75,40,45
10.02.08,1,0,0,13,24,39
11.02.08,1,4,2,0,16,0
12.02.08,0,0,2,0,2,0
15.02.08,0,0,6,0,2,0
16.02.08,0,0,3,0,8,6
12.03.08,18,48,34,13,15,-
13.03.08,6,0,1,0,0,0
14.03.08,4,42,73,25,5,0
15.03.08,1,21,18,2,10,2
21.03.08,82,5,7,28,17,3
22.03.08,25,65,54,34,32,17
23.03.08,4,0,0,3,4,5
26.03.08,58,0,0,5,0,0
01.04.08,0,0,0,8,0,0
02.05.08,0,0,3,0,0,0
11.05.08,14,0,0,0,0,0
13.05.08,1,0,0,0,0,0
15.05.08,0,0,0,0,14,0
19.05.08,0,0,0,3,0,0
21.05.08,2,0,0,0,0,0
22.05.08,63,0,0,6,1,5
23.05.08,1,0,0,0,0,0
01.06.08,9,0,29,0,0,0
05.06.08,2,0,2,21,0,0
06.06.08,0,4,2,0,0,0
07.06.08,0,0,0,0,1,0
08.06.08,0,4,0,0,0,0
09.06.08,1,0,2,0,0,0
10.06.08,5,0,0,0,0,0
12.06.08,1,2,0,0,23,0
15.06.08,0,0,0,0,2,0
20.06.08,11,0,0,0,0,3
22.06.08,66,54,93,39,57,43
26.06.08,1,4,4,2,6,14
27.06.08,0,2,2,4,0,0
28.06.08,4,27,15,13,2,8
29.06.08,5,19,9,5,9,5
30.06.08,1,0,0,0,0,0
02.07.08,8,12,0,9,0,0
04.07.08,3,3,6,12,9,11
10.07.08,16,38,34,29,14,19
13.07.08,0,0,0,0,2,0
19.07.08,40,3,12,40,0,0
25.07.08,2,2,6,6,0,3
27.07.08,9,3,10,6,3,5
28.07.08,9,2,8,10,13,4
29.07.08,10,16,13,7,4,10
31.07.08,0,2,0,4,0,0
02.08.08,0,0,0,0,0,4
04.08.08,3,0,0,0,7,6
06.08.08,0,0,2,0,0,0
09.08.08,5,3,3,7,27,5
11.08.08,1,6,5,5,0,0
13.08.08,0,0,0,1,0,0
14.08.08,0,2,0,0,0,0
17.08.08,2,0,0,0,0,0
18.08.08,30,7,14,18,15,6
20.08.08,98,56,93,96,15,30
21.08.08,0,0,12,0,0,0
22.08.08,0,22,24,3,0,5
23.08.08,0,0,0,3,0,0
24.08.08,0,6,11,21,0,0
27.08.08,0,0,2,0,0,0
01.09.08,17,0,0,0,0,0
02.09.08,0,17,12,0,4,0
04.09.08,0,0,0,0,3,0
07.09.08,0,11,12,0,0,0
08.09.08,1,2,8,0,50,16
09.09.08,0,0,0,0,0,2
10.09.08,0,4,2,0,0,0
11.09.08,0,9,2,11,0,0
12.09.08,0,3,0,0,0,0
15.09.08,15,14,16,15,8,9
21.09.08,10,0,0,31,3,12
25.09.08,9,50,89,19,25,32
26.09.08,0,2,0,0,0,0
30.09.08,20,34,8,31,45,55
03.10.08,1,0,0,0,0,0
04.10.08,6,27,12,29,0,43
05.10.08,7,0,0,0,3,15
12.10.08,2,3,19,0,15,8
13.10.08,8,42,45,28,40,13
14.10.08,5,13,13,19,25,7
15.10.08,1,0,2,0,2,2
16.10.08,8,4,5,13,8,3
17.10.08,1,6,12,6,16,0
18.10.08,25,13,8,22,6,0
19.10.08,1,6,14,13,9,8
20.10.08,28,27,26,54,39,44
21.10.08,69,112,93,96,122,60
22.10.08,7,7,15,17,22,18
23.10.08,77,40,38,43,37,20
24.10.08,0,0,0,0,13,2
25.10.08,11,68,55,13,68,40
11.11.08,6,12,16,8,2,0
13.11.08,0,5,0,0,0,0
16.11.08,33,55,35,66,5,15
19.11.08,1,0,0,0,0,0
22.11.08,31,65,36,25,36,17
23.11.08,16,26,43,34,38,34
24.11.08,3,12,31,6,20,0
25.11.08,4,0,0,0,0,0
26.11.08,56,32,64,40,93,67
27.11.08,97,95,109,86,138,116
28.11.08,162,136,148,194,236,160
29.11.08,64,82,62,37,17,53
30.11.08,22,25,7,37,27,15
01.12.08,7,7,2,6,14,7
02.12.08,14,0,0,11,2,0
09.12.08,2,2,4,0,2,0
10.12.08,4,2,3,20,6,15
