DATE,Storage in Mcft,inflow in cusec,Discharge in cusec
01.01.16,488.40,98,40+50+0
02.01.16,488.40,98,40+50+0
03.01.16,474.20,92,40+0+0
04.01.16,466.00,65,40+110+0
05.01.16,466.00,60,40+0
06.01.16,466.00,152,57+120
07.01.16,466.00,80,73+0
08.01.16,466.00,83,73+0
09.01.16,457.80,100,73+105
10.01.16,466.00,285,73+110
11.01.16,490.00,490,73+0
12.01.16,507.00,615,66+136
13.01.16,523.40,410,73+137
14.01.16,531.60,330,73+135
15.01.16,548.00,430,73+145
16.01.16,564.40,535,73+257
17.01.16,589.00,465,73+94
18.01.16,589.00,435,73+350
19.01.16,589.00,152,73+75
20.01.16,589.00,145,71+66
21.01.16,572.60,148,73+258
22.01.16,572.60,110,73+30
23.01.16,572.60,112,73+30
24.01.16,564.40,80,73+92
25.01.16,556.20,60,73+70
26.01.16,548.20,45,73+67
27.01.16,539.80,0,73+30
28.01.16,523.40,0,73+102
29.01.16,507.00,0,73+99
30.01.16,490.60,0,73+102
31.01.16,474.20,0,73+99
01.02.16,507.00,0,73+99
02.02.16,449.60,0,73+0
03.02.16,433.20,0,73+96
04.02.16,408.60,0,73+195
05.02.16,400.40,0,73+0
06.02.16,384.00,0,73+102
07.02.16,375.80,0,73+0
08.02.16,361.20,0,73+198
09.02.16,326.60,0,73+198
10.02.16,293.80,0,73+288
11.02.16,261.00,0,73+288
12.02.16,244.60,0,73+102
13.02.16,211.80,0,61+295
14.02.16,187.20,0,61+295
15.02.16,170.5,0,57+122
16.02.16,157.75,0,57+82
17.02.16,149.25,0,50+36
18.02.16,136.5,0,57+79
19.02.16,123.75,0,42+98
20.02.16,106.75,0,39+143
21.02.16,94.00,0,39+95
22.02.16,81.25,0,39+96
23.02.16,64.25,0,31+148
24.02.16,51.50,0,19+111
25.02.16,34.5,0,19+126
26.02.16,17.5,0,16+90
27.02.16,0,0,0
28.02.16,0,0,0
29.02.16,0,0,0
01.03.16,0,0,0
02.03.16,0,0,0
03.03.16,0,0,0
04.03.16,0,0,0
05.03.16,0,0,0
06.03.16,0,0,0
07.03.16,0,0,0
08.03.16,0,0,0
09.03.16,0,0,0
10.03.16,0,0,0
11.03.16,0,0,0
12.03.16,0,0,0
13.03.16,0,0,0
14.03.16,0,0,0
