DATE,POONDI,CHOLA VARAM,REDHILLS,TAMARAI PAKKAM,CHEMBARAM BAKKAM,KORATTUR ANICUT
03.01.11,0,0,0,0,57,0
04.01.11,2.2,0,0,0,0,0
05.01.11,2,0,0,0,2,0
08.01.11,0,0,1,0,0,0
22.02.11,27.6,12,15,10,34,5
23.02.11,18,42,48,9,45,18
24.02.11,1.6,5,4,51,2,6
22.04.11,3.4,4,26,0,5,0
23.04.11,19.4,18,22.6,9,2,30
24.04.11,5.2,0,0,1,0,0
26.04.11,0,0,5,0,0,0
21.05.11,39,29,4,89,45,47
22.05.11,0,0,0,0,3,0
02.06.11,17.6,8,2,79,40,83
07.06.11,7.4,32,42,9,22,73
13.06.11,0,4,3.2,3,0,0
15.06.11,14.4,0,21,2,25,26
21.06.11,1,0,0,0,0,0
24.06.11,17.2,2,3.4,7,5,26
25.06.11,0,0,5.3,4,0,0
02.07.11,24.2,10,5,39,4,0
03.07.11,9.4,10,12,12,30,9
05.07.11,0,0,0,0,16,15
06.07.11,0,5,1.4,11,0,0
07.07.11,9.4,15,32.2,24,35,36
12.07.11,17,0,0,3,9,6
14.07.11,2.4,0,2,0,0,0
17.07.11,0,0,0,0,3,0
19.07.11,1.2,0,0,0,0,0
20.07.11,3.6,8,1.2,0,47,6
23.07.11,6,0,2,1,4,0
24.07.11,5.6,0,0,0,0,0
25.07.11,5.8,0,0,0,2,0
27.07.11,27,2,5.2,34,15,17
28.07.11,8,14.2,11.2,23,13,22
01.08.11,2.2,2,3,5,0,0
03.08.11,1.4,0,0,3,3,0
05.08.11,0.6,0,0,0,6,0
06.08.11,20.6,44,42,23,16,0
08.08.11,5.8,5,0,11,0,0
09.08.11,9,28,16,2,10,10
10.08.11,0,0,0,0,3,7
11.08.11,23.2,48,25,54,35,42
12.08.11,5,0,0,0,0,0
13.08.11,0.8,0,0,0,0,0
16.08.11,5,11,0,0,0,18
17.08.11,0,0,0,7,0,6
18.08.11,2.8,0,12,16,34,8
19.08.11,41,6,18,20,3,7
21.08.11,40.2,80,81,78,99,101
22.08.11,4.6,0,0,6,0,0
24.08.11,0,36,12,0,0,0
25.08.11,21.4,21,27,10,60,105
26.08.11,0,2,0,0,10,3
27.08.11,22.2,7,13,8,40,26
28.08.11,0,3,0,0,9,0
02.09.11,0,0,0,1,0,0
06.09.11,0,0,0,4,40,8
07.09.11,0,0,0,1,3,0
08.09.11,0,2,0,2,0,0
09.09.11,0.4,0,6,0,2,19
12.09.11,2.6,0,0,5,0,0
13.09.11,13.2,0,0,0,5,0
14.09.11,25.2,8,4,22,0,0
15.09.11,36.2,2,3,0,6,0
16.09.11,8,32,44,15,45,13
17.09.11,3.4,15,42,13,60,54
18.09.11,1.6,0,2,1,3,22
19.09.11,0,0,0,1,0,0
20.09.11,63,40,57,56,90,44
21.09.11,1.6,0,8,2,0,0
30.09.11,10.2,0,11,9,16,15
03.10.11,30.4,0,1,1,2,3
06.10.11,0,0,0,0,3,20
12.10.11,9,17,27,25,2,0
13.10.11,1,0,0,0,1,4
14.10.11,15.6,0,0,0,0,0
15.10.11,16,0,0,10,5,6
16.10.11,0,0,0,0,17,0
18.10.11,0,0,0,0,1,0
19.10.11,0,0,0,0,35,17
23.10.11,25.2,0,0,0,0,4
24.10.11,11,3,90,0,24,2
25.10.11,3.4,3,16,4,45,28
26.10.11,5,13,29.5,12,30,7
27.10.11,12.6,14,25,30,30,15
28.10.11,0,7,11,3,0,0
29.10.11,1.8,4,3,4,2,10
30.10.11,33.8,34,26.4,46,31,62
31.10.11,2.2,5,1,3,3,7
01.11.11,0,4,5,8,48,4
02.11.11,19.4,21,36,21,41,20
03.11.11,1,0,5,9,9,0
04.11.11,41.2,46,65,71,7,24
05.11.11,54,11,25,13,60,30
06.11.11,33.2,36,76,90,76,95
17.11.11,3.6,5,4,2,2,0
18.11.11,34.4,10,20,26,44,17
19.11.11,10.4,2,2,0,9,0
25.11.11,40.6,40,35,40,60,33
26.11.11,40,44,51,42,36,95
27.11.11,138,76,77,83,59,76
28.11.11,20.2,10,28,28,43,50
29.11.11,1.8,3,5,4,2,5
09.12.11,1.4,0,0,2,0,0
10.12.11,7.6,0,1.8,15,3,0
15.12.11,0,4,3,3,8,0
16.12.11,9.8,0,0,11,25,18
29.12.11,0,0,1,1,0,0
30.12.11,31.8,32,53,51,59,30
31.12.11,52.6,40,49,44,86,70
