DATE,POONDI,CHOLA VARAM,RED HILLS,TAMARAI PAKKAM,CHEMBARAM BAKKAM,KORATTUR ANICUT,VEERANAM,NUNGAM BAKKAM,MEENAM BAKKAM
06.10.15,0,0,0,12,0,0,2,9.3,0
07.10.15,2.8,7,1.8,0,0,0,0,0,0
08.10.15,46,14,15,29,40,37,0,8.2,17.5
09.10.15,24,13,15.2,9.8,0,11,0,5.6,tr
10.10.15,27,12,20.8,9,0,7,0,19.5,1
11.10.15,53,17,15,5.4,26,5,0,13.4,20.5
16.10.15,0,0,0,0,2,0,0,0,0
19.10.15,0,0,0,0,0,0,25,tr,2.9
20.10.15,0,0,0,0,1,0,0,0,0
24.10.15,0,0,0,0,4,0,0,22.5,6.5
26.10.15,0,0,0,11,0,0,0,1.6,tr
27.10.15,0,3,12,0,0,0,0,5.2,0.4
28.10.15,0,4,4,0,50,12,10,0.5,14.4
29.10.15,7,28,25,4.8,10,9,6.8,16.4,14.2
28.10.15,8.4,4,12,9,3,0,0,24.4,13.1
29.10.15,7,28,25,4.8,10,9,6.8,16.4,14.2
30.10.15,8.4,4,12,9,3,0,0,24.4,13.1
31.10.15,4.6,7,8,31,41,7,0,5.3,24.2
01.11.15,0,4,8,0,27,0,31.5,51.8,10.2
02.11.15,17,32,24,6,22,15,24,27.5,55.7
03.11.15,0,0,2,0,2,0,2,0,0
04.11.15,75,31,24,92,5,38,0,0.6,0.2
05.11.15,0,0,2,0,0,0,8.0,0.1,3.6
06.11.15,0,0,1.6,0,0,0,0,5.9,0.7
07.11.15,2.2,0,0,0,0,0,22,tr,6.5
08.11.15,10.6,26,20,6,34,16,29,14.8,43.4
09.11.15,69,159,189,111,188,165,87,136.7,166.8
10.11.15,67,82,95,79,92,65,131,66.1,47.4
11.11.15,10,5,6,17,5,8,0,5.8,26.1
12.11.15,31,22,23,46,44,38,0,61,74.4
13.11.15,92,147,210,130,75,118,0,149.8,117.6
14.11.15,3,2,8.6,2,26,38,0,9,10.2
15.11.15,0,0,0,0,3,0,55,12.8,13.2
16.11.15,190,277,282,307,282,223,58.5,246.5,265.5
17.11.15,29,18,17,38,25,55,28,14.6,41.5
19.11.15,13,0,0,3,3,24,0,7,3.3
20.11.15,103,22,14,52,55,101,3,27.9,36.8
21.11.15,16,33,38,22,15,21,14,34.1,17.5
22.11.15,9.8,45,38,32,22,8,4,23,13.3
23.11.15,65,50,45,39,44,73,117,37,52.1
24.11.15,53,15,17,28,109,126,0,93,139.1
26.11.15,0,0,0,0,0,0,0,tr,0.3
27.11.15,0,0,0,0,0,0,5,0,0
29.11.15,0.1,7,4,8,3,0,0,0.8,5.8
30.11.15,12,30,44,24,17,12,34,23.5,27.1
01.12.15,74.6,36,27,69,17,5,46.1,39.6,64.1
02.12.15,189.4,293,320,281,475,336,40,294.1,345.1
03.12.15,9.2,24,23.4,17,35,-,33,16,27.7
04.12.15,7.8,18,13,0,12,16,30,5,12.6
05.12.15,1.2,2,2,0,40,6,65,45.9,35.1
05.12.15,2.8,10,11.2,4,14,13,33.8,21.2,21
06.12.15,0,0,0,0,0,0,0,0,0
07.12.15,52,75,55,61,38,48,12.6,24.6,26.2
08.12.15,0,0,0,0,0,0,11.6,0,0
09.12.15,0,0,5,0,2,0,21.4,6.6,6.6
10.12.15,0,0,3,0,4,0,12,1.7,3.5
27.12.15,0.4,2,1,0,0,0,0,0,0
31.12.15,0,0,0,0,0,0,0,0,0
