DATE,POONDI,CHOLA VARAM,RED HILLS,TAMARAI PAKKAM,CHEMBARAM BAKKAM,KORATTUR ANICUT,VEERANAM,NUNGAM BAKKAM,MEENAM BAKKAM
16.02.13,0,0,0.3,0,14.5,7,0,6.2,11.6
17.02.13,63,13,16,19,17,24,0,7.3,7.6
18.02.13,5,5,26,10,0,0,12,0.8,0.5
19.02.13,3.8,0,0,0,3,0,0,0,0
06.03.13,0,0,0,0,0,0,21,0,0
07.03.13,46,5,17,20,7,8,9,11.7,31.7
19.04.13,0.6,0,0,0,0,0,0,0,0
22.04.13,0.8,0,0,0,0,0,0,0,0
23.04.13,0,0,0,8,0,0,0,0,0
24.04.13,0,4,5,0,0,0,0,0,0
25.04.13,0,0,0,0,9,0,0,0,0
13.05.13,1.2,2,1,48,7,3,0,3.6,50.6
29.05.13,0,0,0,0,2,0,15,0,0
01.06.13,2.8,0,0,0,13,0,0,0,0
03.06.13,0,30,5,7,33,25,0,0.9,91
04.06.13,2.8,0,0,4,0,0,0,0,0
07.06.13,0,6,29,0,45,15,25,14.5,26.7
08.06.13,6.2,8,22,6,8,5,13,0.6,0.9
10.06.13,0,0,0,0,0,0,0,0,0.8
11.06.13,0,0,8,0,11,3,0,0.1,0.1
12.06.13,8.6,0,0,0,4,4,0,0.6,3.9
15.06.13,0,0,0,1,0,0,0,0,0
24.06.13,3,0,1,0,0,0,0,0,0
27.06.13,1.4,2,1.6,2,0,0,0,0,0
28.06.13,0,2,0,8,10,0,5,8.8,22.9
29.06.13,1.8,6,5,2,7,3,2,1.7,9.3
30.06.13,2,33,28,7.6,2,0,0,6.3,8.6
01.07.13,0,0,0,0,0,0,10.5,0,0
02.07.13,0.6,0,0,0,0,0,0,1,0.3
03.07.13,0,0,0,0,2,0,3,0.2,0.3
04.07.13,0,0,6,1,2,0,0,4.5,0.3
05.07.13,0,1,0,0,0,0,0,0,0
06.07.13,0,0,0,0,0,0,0,0,0.6
07.07.13,0.4,1,3,4,15,12,0,18.8,4
08.07.13,1.6,2,6,3,3,4,0,22.2,4.2
09.07.13,0,0,0,0,0,0,0,0.5,0
11.07.13,20,27,33,26,45,28,0,24.3,32.6
12.07.13,6.4,4,19,3,8,13,0,3.1,6.2
13.07.13,4.8,15,9,15,0,0,0,0,0
16.07.13,33.4,25,29,25,16,0,0,6.8,25.8
18.07.13,8.4,2,5,3,0,0,0,1.6,tr
19.07.13,12.6,21,24,13,10,5,0,8.7,12.7
20.07.13,30.6,24,18,31,35,32,0,21.8,44.3
21.07.13,5.4,2,1,4,12,6,21,8.3,9
22.07.13,1.6,0,1,0,2,4,0,1.6,2.3
23.07.13,4.2,4,6,8,0,0,0,0.6,0.4
24.07.13,5.6,5,5,9,11,5,0,14.1,2.6
29.07.13,0,0,4,0,9,6,0,8.5,2
04.08.13,12.4,1,1,2,3,7,0,11.5,9
05.08.13,3.6,14,25,18,3,0,0,12.4,5.1
06.08.13,1,4,0,0,0,0,0,0,1.2
08.08.13,1.6,2,1.6,1,0,0,0,1.8,1.9
09.08.13,1.4,0,0,0,0,0,9,0.1,0
10.08.13,6.6,0,0,6,5,0,23,1,6.9
11.08.13,0,3,10,0,0,0,0,0.6,0.8
12.08.13,5.6,3,14,9,0,0,0,0,5.2
14.08.13,5.4,14,18,7,5,0,3,21.4,5.6
15.08.13,41.6,18,30,38,75,56,4,58.1,46.3
16.08.13,13.2,2,3,23,30,26,3,0.3,1.7
17.08.13,34.8,18,22,23,40,32,21,31.8,36
18.08.13,1.6,4,5,3,2,0,0,4.8,Tr
21.08.13,1.8,2,0,0,0,0,15,2.1,5
22.08.13,3.2,0,2,0,12,6,0,6.2,11.2
24.08.13,0,0,2,0,0,0,2,0.6,0.5
25.08.13,0,0,0,0,0,0,5,0,0
26.08.13,0,0,0,0,0,0,24,0,0
29.08.13,0,0,0,0,0,0,7,0,0.1
30.08.13,65.6,36,58,4,0,16,0,42.4,30.6
31.08.13,0,0,0,17,0,0,15,0,0
03.09.13,2.4,0,0,0,5,10,0,0,0
04.09.13,76.6,8,29,34,146,26,0,44.4,16.7
06.09.13,0,6,0,0,0,0,46,0,0
07.09.13,0,0,0,0,0,0,29,0,1.8
08.09.13,0,0,0,0,0,0,20,0.2,0.2
09.09.13,1.4,36,17,3,31,0,0,14.4,16.9
10.09.13,0,8,2,0,1,0,4,0.2,1.6
11.09.13,73.6,49,16.4,123,91,75,0,88.2,83.9
12.09.13,14.4,8,11.4,11,15,15,40,2.2,17.4
13.09.13,58.6,65,36.2,35,7,26,0,5.2,2.7
14.09.13,8.4,16,4.2,55,11,0,0,35,12
16.09.13,0,26,25,0,0,0,0,0,0
18.09.13,0,0,0,0,0,0,6,0,2.3
19.09.13,33.6,28,19,59,8,8,0,28.4,9.6
20.09.13,0,0,2,0,0,0,0,0.5,0
22.09.13,6.8,0,1,0,0,0,4,16.1,2
23.09.13,0,1,3,0,0,0,0,0,0
25.09.13,0,1,0,0,0,0,0,0.1,0
27.09.13,0,0,0,0,0,0,0,2.2,1.9
28.09.13,31.4,0,0,0,0,0,0,2.7,0.2
29.09.13,0,0,0,0,0,0,0,0.3,10
01.10.13,5.6,0,3,0,10,15,0,1.9,12
02.10.13,0,2,10,0,0,0,0,6,0
04.10.13,10,23,27,47,17,37,0,4.7,25
08.10.13,0,0,0,0,0,0,7,0,0
09.10.13,0,0,0,2,0,0,0,0,0
10.10.13,17.8,2,1,78,10,27,107,7.9,24.4
11.10.13,14.8,7,12,0,4,7,1.5,6.6,0.4
14.10.13,0,0,0,0,2,0,0,0,1.7
15.10.13,0,18,1.4,0,0,0,20,0.2,0
16.10.13,0,0,0,0,0,0,17.5,0.2,2.9
18.10.13,4,0,0,0,5,5,0,1.1,2.6
19.10.13,0,0,0,0,0,0,4,1,0
20.10.13,9.8,12,21,13,18,56,0,12,23.2
