DATE,POONDI,CHOLA VARAM,RED HILLS,TAMARAI PAKKAM,CHEMBARAM BAKKAM,KORATTUR ANICUT,VEERANAM,NUNGAM BAKKAM,MEENAM BAKKAM
21.10.13,16,68,65,44,45,66,17,80.8,71.1
22.10.13,17.6,26,36,27,25,0,0,15.8,25.9
23.10.13,0,6,10,9,4,12,0,2.5,9.4
24.10.13,1,3,1,0,0,0,0,2.6,2.3
25.10.13,1,0,0,0,0,0,0,1.1,1
26.10.13,68.6,64,43,49,10,23,0,10.4,1.8
27.10.13,1,12,0,14,0,0,0,1,0
28.10.13,0,0,0,0,0,0,0,0,19.3
29.10.13,2,0,4.4,5,0,0,0,1.4,0
31.10.13,0,0,0,0,0,0,0,0,0.6
01.11.13,0,13,7,0,0,0,0,3.3,0.4
02.11.13,0,1,2,0,0,0,0,2,2.7
03.11.13,6.8,23,22,1,5,12,6,23.5,10.6
04.11.13,7.4,8,17,33,12,0,0,11.5,18
05.11.13,0,0,0,0,2,0,64,0,0
06.11.13,0,0,0,0,0,0,50,0,0.8
07.11.13,0,0,0,0,0,0,63,0,0
11.11.13,0,0,0,11,0,0,0,0,0
16.11.13,2.6,3,2,0,2,0,23,10.7,10.4
17.11.13,93,14.4,16.4,35.2,125,120,83,80.4,123.9
18.11.13,10.8,13,19,15,51,16,0,42.8,6.3
19.11.13,0,0,0,0,1,0,13,0.4,3
23.11.13,13,0,0,0,0,0,0,1.4,0.4
24.11.13,0,5,3,0,2,3,5,12.5,4.2
25.11.13,54,0,0,26,0,0,24,5.2,1.1
26.11.13,0,2,1,0,0,0,0,0,0
01.12.13,1.4,2,4,0,2,0,8,0.7,6.8
02.12.13,6.2,18.6,18,7,5,6,21,2.7,3.7
03.12.13,0,0,0,0,30,7,90,52.5,55.8
05.12.13,0,0,0,0,0,0,23,0,0
08.12.13,0,3,8,2,3,0,0,15.6,10.5
12.12.13,5,2,2.6,1,0,0,0,3.2,2.6
13.12.13,6,2,3,11,11,6,25,9.4,0.1
14.12.13,1,0,0,0,2,0,4,1,0.8
23.12.13,0,0,0,0,0,0,0,0.8,0.7
