DATE,Storage in Mcft,inflow in cusec,Discharge in cusec
01.01.15,1197.45,75,74+0
02.01.15,1197.45,85,74+0
03.01.15,1185.27,25,74+91
04.01.15,1173.10,65,73+139
05.01.15,1160.92,65,61+139
06.01.15,1148.75,75,74+139
07.01.15,1136.57,75,62+150
08.01.15,1124.40,75,69+150
09.01.15,1100.05,75,74+275
10.01.15,1075.70,75,74+275
11.01.15,1039.17,50,74+399
12.01.15,1002.65,50,74+350
13.01.15,978.20,50,74+245
14.01.15,956.70,50,74+220
15.01.15,924.45,50,74+341
16.01.15,881.45,15,74+439
17.01.15,859.95,55,74+225
18.01.15,859.95,350,74+255
19.01.15,902.95,650,74+80
20.01.15,945.95,825,74+250
21.01.15,990.42,825,74+240
22.01.15,1039.17,875,66+240
23.01.15,1087.87,875,74+240
24.01.15,1124.40,875,74+375
25.01.15,1197.45,995,74+76
26.01.15,1282.67,1140,74+76
27.01.15,1331.35,890,74+235
28.01.15,1355.65,685,74+315
29.01.15,1367.80,575,74+350
30.01.15,1379.95,575,71+360
31.01.15,1379.95,195,72+120
01.02.15,1379.95,195,74+110
02.02.15,1379.95,156,74+71
03.02.15,1379.95,155,74+66
04.02.15,1379.95,85,74+0
05.02.15,1379.95,85,74+0
06.02.15,1379.95,85,74+0
07.02.15,1404.25,365,74+0
08.02.15,1465.00,780,74+0
09.02.15,1465.00,150,74+75
10.02.15,1465.00,135,74+55
11.02.15,1465.00,135,74+55
12.02.15,1465.00,115,74+25
13.02.15,1452.85,15,74+45
14.02.15,1440.70,0,66+0
15.02.15,1428.55,0,74+0
16.02.15,1416.40,0,74+0
17.02.15,1404.25,0,74+0
18.02.15,1392.10,0,74+0
19.02.15,1379.95,0,74+0
20.02.15,1367.80,0,73+0
21.02.15,1355.65,0,74+0
22.02.15,1345.50,0,74+0
23.02.15,1331.65,0,74+0
24.02.15,1319.20,0,74+0
25.02.15,1307.02,0,74+0
26.02.15,1294.85,0,42+0
27.02.15,1282.67,0,74+0
28.02.15,1270.50,0,74+0
01.03.15,1258.32,0,68+0
02.03.15,1246.15,0,74+0
03.03.15,1233.97,0,74+0
04.03.15,1221.50,0,74+0
05.03.15,1209.62,0,74+0
06.03.15,1197.45,0,74+0
07.03.15,1185.27,0,74+0
08.03.15,1173.10,0,64+0
09.03.15,1160.92,0,74+0
10.03.15,1148.75,0,74+0
11.03.15,1148.75,0,74+0
12.03.15,1124.40,0,74+0
13.03.15,1112.22,0,74+0
14.03.15,1100.05,0,74+0
15.03.15,1075.70,0,74+0
16.03.15,1063.52,0,74+0
17.03.15,1051.35,0,74+0
18.03.15,1039.17,0,74+0
19.03.15,1027.00,0,74+0
20.03.15,1014.82,0,74+0
21.03.15,1002.65,0,74+0
22.03.15,990.42,0,74+0
23.03.15,967.45,0,71+0
24.03.15,956.70,0,74+0
