DATE,POONDI,CHOLA VARAM,REDHILLS,TAMARAI PAKKAM,CHEMBARAM BAKKAM,KORATTUR ANICUT
09.01.10,0,1,2,1,1,1
14.01.10,3,0,0,0,0,0
01.05.10,1,2,2,0,5,2
02.05.10,0,2,0,4,6,0
05.05.10,1,0,0,0,0,3
19.05.10,13,28,71,16,44,20
20.05.10,86,130,143,108,65,62
22.05.10,0,0,0,0,0,1
05.06.10,0,5,10,15,0,0
06.06.10,0,0,0,0,5,0
07.06.10,3,0,0,0,1,8
08.06.10,2,0,0,0,0,0
09.06.10,12,11,8,8,0,0
10.06.10,13,4,22,5,8,16
11.06.10,0,0,0,0,1,0
12.06.10,2,8,6,3,0,3
13.06.10,1,0,0,0,2,4
14.06.10,2,0,0,0,0,0
22.06.10,0,5,1,2,0,0
26.06.10,1,0,0,0,3,2
27.06.10,3,2,0,9,18,6
28.06.10,38,84,75,104,50,49
29.06.10,0,0,0,0,0,1
05.07.10,3.4,2,0,3,4,6
06.07.10,3.4,11,17,1,4,11
07.07.10,5.6,0,1,8,11,2
08.07.10,0,0,0,0,3,0
09.07.10,0,2,0,3,0,0
10.07.10,3,0,0,67,0,2
13.07.10,11.6,17,38,24,24,35
17.07.10,33.4,47,15,55,4,7
18.07.10,48.6,110,50,35,18,80
19.07.10,18.4,9,12,10,7,10
20.07.10,4.8,4,4,2,3,0
21.07.10,17.6,33,20,21,10,11
22.07.10,2.6,0,0,0,3,2
28.07.10,10.4,4,9.6,9,6,25
29.07.10,1.6,4,7.4,2,2,8
30.07.10,23,80,49,53,13,23
31.07.10,21,30,22,32,0,7
01.08.10,0.6,0,3.6,5,0,0
03.08.10,0,0,0,0,0,2
08.08.10,1,1,6,0,0,0
09.08.10,0,0,1,0,12,11
13.08.10,32,9,15,7,0,66
14.08.10,26,2,8,2,5,28
16.08.10,0,27,36,0,0,0
18.08.10,50,45,42,34,68,60
19.08.10,35,16,45,59,35,40
21.08.10,7.6,2,11,56,25,0
22.08.10,18,15,11,12,63,27
23.08.10,30,138,110,46,38,30
24.08.10,2,38,7,6,27,25
25.08.10,6,7,10,10,12,10
26.08.10,5.8,5,12,13,0,0
30.08.10,30,11,10,22,2,15
31.08.10,0,0,1,1,9,15
03.09.10,13,51,29,25,3,3
04.09.10,0,0,2,2,0,2
05.09.10,0,1,2,0,16,7
06.09.10,1,0,0,2,8,10
10.09.10,88,80,20,44,39,67
11.09.10,7,0,2,65,3,10
12.09.10,0,2,1,0,0,0
13.09.10,0,0,1,41,2,15
14.09.10,9.4,5,1,5,5,8
15.09.10,0.8,0,0,3,0,0
18.09.10,0,20,14,1,0,0
25.09.10,1.4,0,0,29,0,0
26.09.10,0,0,0,0,15,26
27.09.10,6,90,28,17,2,15
28.09.10,0,0,3,2,5,0
02.10.10,0,0,1,0,0,0
03.10.10,6.2,12,18,3,34,25
04.10.10,0,2,1,2,0,0
06.10.10,0,50,18,0,0,0
07.10.10,8.2,5,1,15,7,12
17.10.10,0,4,9,4,2,0
20.10.10,0,2,7,25,0,0
21.10.10,0,0,0,0,9,0
22.10.10,0,5,0,0,0,10
24.10.10,6.6,4,3,9,0,0
26.10.10,0,3,0,5,0,0
27.10.10,1,0,0,2,0,0
29.10.10,15,45,60,43,72,27
30.10.10,22,60,42,28,35,22
31.10.10,14.2,3,12,17,13,15
02.11.10,2.4,40,25,1,4,20
03.11.10,0,4,5,0,0,0
04.11.10,5.4,0,0,0,5,13
05.11.10,7.6,1,9,8,5,10
06.11.10,2.2,0,0,0,12,0
07.11.10,4.8,15,10,7,12,5
08.11.10,21.8,37,41,22,49,37
10.11.10,0,0,0,9,16,0
11.11.10,0,2,9,19,20,0
12.11.10,9,0,4,66,0,0
14.11.10,3.6,0,0,0,0,0
15.11.10,0,0,0,2,0,0
16.11.10,25,28,34,37,3,15
17.11.10,26.2,50,49,55,57,82
18.11.10,13,20,14,9,25,17
19.11.10,1,0,0,0,2,0
21.11.10,0,0,10,0,26,0
22.11.10,0,0,0,0,2,0
24.11.10,1,0,4,0,0,12
26.11.10,1,0,4,2,2,0
27.11.10,0,0,0,0,3,0
30.11.10,0,0,2,4,0,0
01.12.10,20,126,41,12,25,15
02.12.10,34.4,85,35,83,71,28
03.12.10,7.8,0,2,6,5,0
04.12.10,0,0,1,0,0,0
05.12.10,3,2,5,8,2,0
06.12.10,36,49,62,54,75,50
07.12.10,40.3,38,55,70,54,69
08.12.10,1.8,3,2,4,8,0
09.12.10,4.2,1,0,24,1,0
10.12.10,0,1,0,0,0,0
12.12.10,0,8,14,0,0,0
14.12.10,2,0,0,15,18,0
16.12.10,2,0,0,0,18,0
17.12.10,0,2,7,2,5,15
18.12.10,2,2,5,2,11,0
20.12.10,9,5,8,8,5,11
21.12.10,0,0,4,0,8,0
