DATE,Storage in Mcft,inflow in cusec,Discharge in cusec
01.01.18,806.20,0,355
02.01.18,773.95,0,357
03.01.18,741.70,0,362
04.01.18,712.00,0,340
05.01.18,687.40,0,285
06.01.18,662.80,0,280
07.01.18,638.20,0,275
08.01.18,614.10,0,270
09.01.18,589.00,0,275
10.01.18,564.40,0,280
11.01.18,564.40,0,72
12.01.18,564.40,0,72
13.01.18,564.40,72,72
14.01.18,564.40,72,72
15.01.18,564.40,72,72
16.01.18,564.40,72,72
17.01.18,564.40,72,72
18.01.18,564.40,72,72
19.01.18,564.40,72,72
20.01.18,564.40,0,62
21.01.18,556.20,72,167
22.01.18,548.00,45,140
23.01.18,539.80,25,120
24.01.18,531.60,0,95
25.01.18,515.20,0,188
26.01.18,498.80,0,184
27.01.18,490.60,0,95
28.01.18,474.20,0,190
29.01.18,457.80,0,184
30.01.18,441.40,0,182
31.01.18,425.00,0,188
01.02.18,408.60,0,185
02.02.18,392.20,0,190
03.02.18,375.80,0,180
04.02.18,359.40,0,188
05.02.18,343.00,0,182
06.02.18,326.60,0,184
07.02.18,310.20,0,181
08.02.18,293.80,0,167
09.02.18,277.40,0,162
10.02.18,261.00,0,157
11.02.18,244.60,0,152
12.02.18,228.20,0,147
13.02.18,220.00,0,72
14.02.18,211.80,0,72
15.02.18,203.60,0,72
16.02.18,195.40,0,72
17.02.18,187.20,0,72
18.02.18,179.00,0,72
19.02.18,174.75,0,72
20.02.18,166.25,0,72
21.02.18,162.00,0,72
22.02.18,153.50,0,72
23.02.18,149.25,0,72
24.02.18,140.75,0,71
25.02.18,136.50,0,69
26.02.18,128.00,0,71
27.02.18,123.75,0,72
28.02.18,115.25,0,68
01.03.18,111.00,0,68
02.03.18,102.50,0,70
03.03.18,98.25,0,70
04.03.18,89.75,0,72
05.03.18,81.25,0,72
06.03.18,77.00,0,72
07.03.18,68.50,0,71
08.03.18,64.25,0,71
09.03.18,55.75,0,70
10.03.18,47.25,0,70
11.03.18,38.75,0,54
12.03.18,30.25,0,44
13.03.18,26.00,0,37
14.03.18,21.75,0,27
15.03.18,17.50,0,18
16.03.18,13.25,0,18
17.03.18,9.00,0,18
18.03.18,9.00,0,18
19.03.18,9.00,0,18
20.03.18,9.00,0,18
21.03.18,9.00,0,18
22.03.18,0.00,0,0
23.03.18,0.00,0,0
24.03.18,0.00,0,0
25.03.18,0.00,0,0
26.03.18,0.00,0,0
27.03.18,0.00,0,0
28.03.18,0.00,0,0
29.03.18,0.00,0,0
30.03.18,0.00,0,0
31.03.18,0.00,0,0
01.04.18,0.00,0,0
02.04.18,0.00,0,0
03.04.18,0.00,0,0
04.04.18,0.00,0,0
05.04.18,0.00,0,0
06.04.18,0.00,0,0
07.04.18,0.00,0,0
08.04.18,0.00,0,0
09.04.18,0.00,0,0
10.04.18,0.00,0,0
11.04.18,0.00,0,0
12.04.18,0.00,0,0
13.04.18,0.00,0,0
14.04.18,0.00,0,0
15.04.18,0.00,0,0
16.04.18,0.00,0,0
17.04.18,0.00,0,0
18.04.18,0.00,0,0
19.04.18,0.00,0,0
20.04.18,0.00,0,0
21.04.18,0.00,0,0
22.04.18,0.00,0,0
23.04.18,0.00,0,0
24.04.18,0.00,0,0
25.04.18,0.00,0,0
26.04.18,0.00,0,0
27.04.18,0.00,0,0
28.04.18,0.00,0,0
